timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_enabled,cbf_margin,cbf_applied,cbf_fallback,u_nom_lr,u_nom_fb,u_filt_lr,u_filt_fb
1756189821.089023,1,leader,auto,0.541260302066803,0.05240998789668083,0.8995568752288818,0.65,1.0,1.0,0.10873969793319704,0.9475900121033192,0.10044312477111816,0,0,0,0,1.0,0.09973059389128835,-0.05207108717941067,-0.19589618202074344,0.541260302066803,0.05240998789668083,0.8995568752288818,False,,False,False,,,,
1756189821.1940575,0,follower,auto,0.47678786516189575,0.05437314137816429,-0.1599632203578949,0.65,1.0,0.0,0.17321213483810427,0.9456268586218357,0.1599632203578949,0,0,0,0,1.0,-0.03258353645482126,-0.03206593846000638,-0.16247279636710632,0.47678786516189575,0.05437314137816429,-0.1599632203578949,False,,False,False,,,,
1756189821.294449,1,leader,auto,0.5412513613700867,0.052383940666913986,0.8995465636253357,0.65,1.0,1.0,0.10874863862991335,0.947616059333086,0.1004534363746643,0,0,0,0,1.0,0.09971893187227904,-0.05210392251292209,-0.19590809939857534,0.5412513613700867,0.052383940666913986,0.8995465636253357,False,,False,False,,,,
1756189821.39861,0,follower,auto,0.4767918288707733,0.05437436327338219,-0.15996715426445007,0.65,1.0,0.0,0.1732081711292267,0.9456256367266178,0.15996715426445007,0,0,0,0,1.0,-0.03258083619646546,-0.03206034280262378,-0.1624790845564913,0.4767918288707733,0.05437436327338219,-0.15996715426445007,False,,False,False,,,,
1756189821.49891,1,leader,auto,0.5412546992301941,0.05237801745533943,0.8995455503463745,0.65,1.0,1.0,0.10874530076980593,0.9476219825446606,0.10045444965362549,0,0,0,0,1.0,0.09973127499051748,-0.052082886981984655,-0.1958991553638032,0.5412546992301941,0.05237801745533943,0.8995455503463745,False,,False,False,,,,
1756189821.6031237,0,follower,auto,0.47678858041763306,0.05436728894710541,-0.15996916592121124,0.65,1.0,0.0,0.17321141958236697,0.9456327110528946,0.15996916592121124,0,0,0,0,1.0,-0.03258878837109158,-0.032070069727554856,-0.16247741076346545,0.47678858041763306,0.05436728894710541,-0.15996916592121124,False,,False,False,,,,
1756189821.703685,1,leader,auto,0.5412552952766418,0.05238258093595505,0.8995493054389954,0.65,1.0,1.0,0.10874470472335818,0.947617419064045,0.10045069456100464,0,0,0,0,1.0,0.09972785715117816,-0.05207275090890559,-0.19589527792412031,0.5412552952766418,0.05238258093595505,0.8995493054389954,False,,False,False,,,,
1756189821.8081565,0,follower,auto,0.4767897427082062,0.05436718091368675,-0.15996691584587097,0.65,1.0,0.0,0.17321025729179385,0.9456328190863132,0.15996691584587097,0,0,0,0,1.0,-0.03258464050950893,-0.032063950522637275,-0.16247349791571375,0.4767897427082062,0.05436718091368675,-0.15996691584587097,False,,False,False,,,,
1756189821.9085388,1,leader,auto,0.5412504076957703,0.05238848179578781,0.8995527625083923,0.65,1.0,1.0,0.10874959230422976,0.9476115182042122,0.10044723749160767,0,0,0,0,1.0,0.09972190256853958,-0.052072372313184304,-0.19589669952562416,0.5412504076957703,0.05238848179578781,0.8995527625083923,False,,False,False,,,,
1756189822.0133355,0,follower,auto,0.4767864942550659,0.05436908081173897,-0.1599712073802948,0.65,1.0,0.0,0.1732135057449341,0.945630919188261,0.1599712073802948,0,0,0,0,1.0,-0.03258956300704796,-0.032063156831401984,-0.16248062318069267,0.4767864942550659,0.05436908081173897,-0.1599712073802948,False,,False,False,,,,
1756189822.1137438,1,leader,auto,0.5412499308586121,0.05239046365022659,0.8995557427406311,0.65,1.0,1.0,0.10875006914138796,0.9476095363497734,0.1004442572593689,0,0,0,0,1.0,0.099726199631892,-0.05207727281781743,-0.19589821464497215,0.5412499308586121,0.05239046365022659,0.8995557427406311,False,,False,False,,,,
1756189822.2701237,0,follower,auto,0.4767879843711853,0.05435991659760475,-0.1599639505147934,0.65,1.0,0.0,0.17321201562881472,0.9456400834023952,0.1599639505147934,0,0,0,0,1.0,-0.032585040841761614,-0.03207548280529812,-0.16246923092008353,0.4767879843711853,0.05435991659760475,-0.1599639505147934,False,,False,False,,,,
1756189822.370601,1,leader,auto,0.5412515997886658,0.0523814782500267,0.8995538353919983,0.65,1.0,1.0,0.10874840021133425,0.9476185217499733,0.10044616460800171,0,0,0,0,1.0,0.09972797389494187,-0.05208892754141725,-0.19590404960087282,0.5412515997886658,0.0523814782500267,0.8995538353919983,False,,False,False,,,,
